,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label,gmm_id,weights
10987,1.3452,0.168,0.7004,0.0633,-0.1209,1.0694,0.3622,1.2466,0.5575,0.4588,0.0925,-0.0883,1.0974,0.0887,0.4218,0.6617,-0.0674,0.7933,0.2628,0.8361,0.7666,0.2665,0.4124,-0.1137,0.4618,0.9913,0.8045,-0.0668,-0.0762,0.5238,0.4654,0.7388,0.6256,0.4206,0.7852,0.3414,0.9282,0.3648,0.2871,0.1625,0.5859,-0.0381,0.5748,0.161,-0.2575,-0.0589,1.019,1.3844,0.3146,0.4063,9,8,1.0
8665,0.7907,0.2289,0.8606,-0.0014,0.459,0.3709,0.5016,1.233,0.3634,0.9911,0.1145,0.1627,0.2085,1.1748,0.1439,0.7305,0.6032,0.706,0.7236,0.7407,0.8017,0.7636,0.3333,0.3213,0.3216,0.4835,0.5406,0.326,0.9109,0.8193,0.247,0.5465,0.6234,0.6195,0.3198,0.3491,0.5939,1.1459,0.1923,0.3899,0.0591,0.2414,0.9305,0.532,0.6258,1.0539,1.0724,-0.1429,1.1867,0.4235,6,7,1.0
7201,0.1184,0.2038,0.2124,0.363,0.8229,0.4301,0.631,0.3095,-0.0689,0.8664,0.571,-0.2381,0.3611,0.5566,0.1582,0.2285,0.3765,0.9277,0.3621,0.5172,0.0399,-0.046,0.6373,0.4697,0.9891,0.361,0.2023,0.1448,0.5547,0.1277,0.2265,-0.1042,0.7469,0.1491,0.8603,0.0628,0.6247,0.8202,0.3572,0.1547,-0.0164,0.3001,0.4066,0.1874,0.3148,0.0893,0.4378,1.3885,0.2818,0.655,6,9,1.0
7217,0.3079,0.2978,-0.0267,0.1254,0.357,0.2554,0.9674,0.2124,0.5125,1.3429,0.8777,0.0168,0.0654,0.4454,0.4371,0.1096,0.4579,0.8194,0.0753,0.9391,0.8147,0.2884,0.2516,0.5531,1.2209,0.4162,0.1435,0.4776,0.5684,0.3716,0.434,-0.1159,0.5718,0.5498,0.4865,-0.0232,0.4324,1.3146,0.5369,0.4839,0.134,0.2548,0.3851,0.8038,0.5634,-0.1254,0.8698,0.8823,0.1735,0.724,6,9,1.0
11323,0.026,0.8806,1.1999,1.1399,0.8851,0.5903,0.3205,0.4048,0.5091,1.2259,0.7462,0.2147,0.8343,0.5878,0.1721,0.3041,0.5027,0.4394,0.3,0.5586,0.3732,0.4122,0.9802,0.7075,0.1221,0.19,0.4581,-0.4542,0.9451,0.1979,0.329,-0.4363,0.4763,0.5357,-0.2347,0.9665,-0.003,0.4302,0.3482,0.329,0.2547,0.2053,0.4918,0.8601,-0.3102,0.6387,0.5316,0.1487,0.3113,0.2128,9,5,1.0
8552,0.4795,-0.0795,1.3303,-0.0615,0.2085,0.8777,0.5387,1.1213,1.1892,1.2627,-0.0183,0.2501,-0.2406,0.9822,0.0463,1.3375,0.4514,0.476,0.8898,0.3876,0.3279,0.9815,0.2531,0.697,0.6044,0.2786,0.1387,0.3385,1.2221,0.3361,0.3704,0.1977,0.4123,0.618,0.5046,0.479,0.2011,1.205,0.2842,0.7111,-0.1219,0.6281,0.7363,0.7452,0.9147,0.7992,0.5933,0.3003,1.206,0.6132,6,7,1.0
11447,0.4138,0.5766,0.6393,0.131,0.6316,0.0897,0.8513,0.1571,0.466,1.0342,-0.017,0.5609,0.6321,0.7417,0.7199,-0.0215,0.2926,0.3373,0.0605,0.9159,0.5059,0.1545,-0.2383,0.7123,0.4401,0.698,0.9587,-0.1,0.6303,0.5778,0.5038,0.3791,-0.1663,0.0915,-0.3763,-0.0948,0.9245,0.4189,0.1998,0.285,0.6534,0.1038,0.5383,0.5839,0.9559,-0.1012,0.0993,0.2019,-0.0653,0.0851,9,6,1.0
9545,0.6753,1.0041,0.3208,0.8828,0.973,0.4298,1.0835,0.073,0.856,1.3597,0.1047,0.8253,0.9478,0.1567,0.1232,0.0324,0.7764,0.9806,1.3322,0.0459,0.9817,1.1244,0.8182,0.2637,0.5085,0.5917,0.5417,-0.0836,0.4481,1.2501,0.5884,0.5969,0.2389,0.4997,-0.0442,0.713,0.236,0.9043,0.5668,0.9464,0.9177,0.6083,0.3273,0.2973,0.9652,0.1216,0.6597,0.402,1.1253,0.9032,7,5,1.0
10285,0.2579,1.0488,0.6455,0.7348,0.7548,0.698,0.4295,0.817,-0.1192,0.7572,0.384,0.3539,0.5054,0.3581,0.2233,0.3032,0.7985,0.1944,1.1358,0.644,0.8623,-0.045,0.5946,0.1132,1.1034,0.2625,0.7045,0.627,0.4543,0.8293,0.182,0.3259,0.1833,0.9535,1.0911,0.7675,0.2291,0.7215,0.9975,-0.0583,0.6177,0.8093,0.2802,0.9863,0.9355,0.3351,0.0772,0.2221,1.4685,0.4058,8,8,1.0
5243,0.3588,0.4572,0.4455,0.7746,0.2559,-0.2366,0.4225,0.7578,0.4025,0.4741,0.6912,0.3495,1.0003,0.332,0.8838,0.4211,0.8957,0.1121,0.7997,0.336,1.0903,0.1898,0.9962,-0.0045,0.6572,0.0029,0.5469,0.1608,0.5716,0.9262,0.7539,0.0162,0.4867,0.7103,0.8508,0.1544,0.5467,0.0675,0.396,0.2172,-0.0104,0.6495,0.2099,0.2044,0.7965,0.3496,0.3177,0.7305,0.6174,0.2403,4,9,1.0
